rom,game,year,company,genre,platform
asteroid,Asteroids (rev 4),1979,Atari,Arcade,Atari Arcade
atarifb4,Atari 4 Player Football,1979,Atari,Sports,Atari Arcade
a400,Atari 400 (NTSC),1979,Atari,Action (Multiplayer),Atari Arcade
a400pal,Atari 400 (PAL),1979,Atari,Action (Multiplayer),Atari Arcade
a800,Atari 800 (NTSC),1979,Atari,Action (Multiplayer),Atari Arcade
a800pal,Atari 800 (PAL),1979,Atari,Action (Multiplayer),Atari Arcade
abaseb,Atari Baseball (set 1),1979,Atari,Sports,Atari Arcade
abaseb2,Atari Baseball (set 2),1979,Atari,Sports,Atari Arcade
bsktball,Atari Basketball,1979,Atari,Sports,Atari Arcade
llander1,Lunar Lander (rev 1),1979,Atari,Arcade,Atari Arcade
llander,Lunar Lander (rev 2),1979,Atari,Arcade,Atari Arcade
llandert,Lunar Lander (screen test),1979,Atari,Arcade,Atari Arcade
montecar,Monte Carlo,1979,Atari,Dial/Paddle,Atari Arcade
solarwar,Solar War,1979,Atari,Arcade,Atari Arcade
touchme,"Touch Me (handheld, rev. 2)",1979,Atari,Arcade,Arcade Hardware (Unknown)
tunhunt,Tunnel Hunt,1979,Atari,Action,Atari Arcade
bambball,Dribble Away Basketball,1979,Bambino,Sports,Arcade Hardware (Unknown)
bmsoccer,Kick The Goal Soccer,1979,Bambino,Sports,Arcade Hardware (Unknown)
bmboxing,Knock-Em Out Boxing,1979,Bambino,Keyboard/Typing,Arcade Hardware (Unknown)
ssfball,Super Star Football (Bambino),1979,Bambino,Sports,Arcade Hardware (Unknown)
ufombs,UFO Master-Blaster Station,1979,Bambino,Action,Arcade Hardware (Unknown)
sv8000,Super Vision 8000,1979,Bandai,Action,Arcade Hardware (Unknown)
mfabfz,Mikrocomputer fuer Ausbildung,1979,Berufsfoerdungszentrum Essen,Keyboard/Typing,Arcade Hardware (Unknown)
mfabfz85,Mikrocomputer fuer Ausbildung MAT85,1979,Berufsfoerdungszentrum Essen,Keyboard/Typing,Arcade Hardware (Unknown)
pabball,Pro-Action Electronic-Computerized Baseball,1979,Calfax / Caprice Electronics,Sports,Arcade Hardware (Unknown)
ctstein,Einstein (Castle Toy),1979,Castle Toy,Arcade,Arcade Hardware (Unknown)
starhawk,Starhawk,1979,Cinematronics,Action (Multiplayer),Arcade Hardware (Unknown)
sundance,Sundance,1979,Cinematronics,Rhythm/Music,Arcade Hardware (Unknown)
tailg,Tailgunner,1979,Cinematronics,Shooter,Arcade Hardware (Unknown)
barrier,Barrier,1979,Cinematronics (Vectorbeam license),Action (Multiplayer),Arcade Hardware (Unknown)
h2hbaskb,Head to Head: Electronic Basketball (TMS1000 version),1979,Coleco,Sports,Arcade Hardware (Unknown)
h2hfootb,Head to Head: Electronic Football,1979,Coleco,Sports,Arcade Hardware (Unknown)
h2hhockey,Head to Head: Electronic Hockey (TMS1000 version),1979,Coleco,Sports,Arcade Hardware (Unknown)
zodiac,Zodiac: The Astrology Computer,1979,Coleco,Keyboard/Typing,Arcade Hardware (Unknown)
cbm3008,CBM 3008,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
cbm3016,CBM 3016,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
cbm3032,CBM 3032,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
cbm3032b,CBM 3032B,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
pet2001b16,PET 2001-B16,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
pet2001b32,PET 2001-B32,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
pet2001b,PET 2001-B8,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
pet2001n16,PET 2001-N16,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
pet2001n32,PET 2001-N32,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
pet2001n,PET 2001-N8,1979,Commodore Business Machines,Keyboard/Typing,Arcade Hardware (Unknown)
uk101,UK101,1979,Compukit,Keyboard/Typing,Arcade Hardware (Unknown)
cncchess,"Computer Chess (Conic, model 7011)",1979,Conic,Keyboard/Typing,Arcade Hardware (Unknown)
cnbaskb,Electronic Basketball (Conic),1979,Conic,Sports,Arcade Hardware (Unknown)
cnfball,"Electronic Football (Conic, TMS1000 version)",1979,Conic,Sports,Arcade Hardware (Unknown)
cnfball2,Electronic Football II (Conic),1979,Conic,Sports,Arcade Hardware (Unknown)
eleciq,Electronic I.Q.,1979,Conic,Keyboard/Typing,Arcade Hardware (Unknown)
cmsport,Electronic Multisport,1979,Conic,Action,Arcade Hardware (Unknown)
mcb216,MCB-216,1979,Cromemco,Keyboard/Typing,Arcade Hardware (Unknown)
astrof,Astro Fighter (set 1),1979,Data East,Fighting,Data East Arcade
astrof2,Astro Fighter (set 2),1979,Data East,Fighting,Data East Arcade
astrof3,Astro Fighter (set 3),1979,Data East,Fighting,Data East Arcade
satsf3d,Saturn: Space Fighter 3D,1979,Data East,Fighting,Data East Arcade
spfghmk2,Space Fighter Mark II (set 1),1979,Data East,Fighting,Data East Arcade
spfghmk22,Space Fighter Mark II (set 2),1979,Data East,Fighting,Data East Arcade
astroft,Astro Fighter (Taito),1979,Data East (Taito license),Fighting,Data East Arcade
heiankyo,Heiankyo Alien,1979,Denki Onkyo,Action (Multiplayer),Sega Arcade Hardware
mp68a,mp68a,1979,Didact AB,Keyboard/Typing,Arcade Hardware (Unknown)
vt100ac,VT100 w/VT1xx-AC STP,1979,Digital Equipment Corporation,Keyboard/Typing,Arcade Hardware (Unknown)
agvision,AgVision,1979,Elanco,Keyboard/Typing,Arcade Hardware (Unknown)
qfire,Quickfire,1979,Electroplay,Arcade,Arcade Hardware (Unknown)
elektor,Elektor TV Games Computer,1979,Elektor,Action (Multiplayer),Arcade Hardware (Unknown)
ebball,Electronic Baseball (Entex),1979,Entex,Sports,Arcade Hardware (Unknown)
ebball2,Electronic Baseball 2 (Entex),1979,Entex,Sports,Arcade Hardware (Unknown)
esoccer,Electronic Soccer (Entex),1979,Entex,Sports,Arcade Hardware (Unknown)
esbattle,Space Battle (Entex),1979,Entex,Arcade,Arcade Hardware (Unknown)
crash,Crash (set 1),1979,Exidy,Action,Arcade Hardware (Unknown)
crasha,Crash (set 2),1979,Exidy,Action,Arcade Hardware (Unknown)
fireone,Fire One,1979,Exidy,Dial/Paddle,Arcade Hardware (Unknown)
ripcord,Rip Cord,1979,Exidy,Dial/Paddle,Arcade Hardware (Unknown)
sidetrac,Side Trak,1979,Exidy,Action,Arcade Hardware (Unknown)
starfire,Star Fire (set 1),1979,Exidy,Action,Arcade Hardware (Unknown)
starfirea,Star Fire (set 2),1979,Exidy,Action,Arcade Hardware (Unknown)
starfir2,Star Fire 2,1979,Exidy,Action,Arcade Hardware (Unknown)
sorcerer,Sorcerer,1979,Exidy Inc,Keyboard/Typing,Arcade Hardware (Unknown)
sorcererb,Sorcerer (with Digitrio fdc),1979,Exidy Inc,Keyboard/Typing,Arcade Hardware (Unknown)
sorcerera,Sorcerer (with Dreamdisk fdc),1979,Exidy Inc,Keyboard/Typing,Arcade Hardware (Unknown)
sorcererd,Sorcerer (with Micropolis fdc),1979,Exidy Inc,Keyboard/Typing,Arcade Hardware (Unknown)
sorcerer2,Sorcerer 2,1979,Exidy Inc,Keyboard/Typing,Arcade Hardware (Unknown)
f387x,F387X PEP System,1979,Fairchild Instrument & Camera Corporation,Keyboard/Typing,Arcade Hardware (Unknown)
fi6845,Fast Invaders (6845 version),1979,Fiberglass,Action (Multiplayer),Arcade Hardware (Unknown)
fi8275,Fast Invaders (8275 version),1979,Fiberglass,Action (Multiplayer),Arcade Hardware (Unknown)
bridgeca,Advanced Bridge Challenger,1979,Fidelity Electronics,Keyboard/Typing,Arcade Hardware (Unknown)
