rom,game,year,company,genre,platform
smgpu,"Super Monaco GP (US, Rev C) (FD1094 317-0125a)",1989,Sega,Dial/Paddle,Sega Arcade Hardware
smgp5,Super Monaco GP (World) (FD1094 317-0126),1989,Sega,Dial/Paddle,Sega Arcade Hardware
smgp6,"Super Monaco GP (World, Rev A) (FD1094 317-0126a)",1989,Sega,Dial/Paddle,Sega Arcade Hardware
smgp,"Super Monaco GP (World, Rev B) (FD1094 317-0126a)",1989,Sega,Dial/Paddle,Sega Arcade Hardware
mt_srbb,Super Real Basketball (Mega-Tech),1989,Sega,Sports,Sega Arcade Hardware
mt_tetri,Tetris (Mega-Tech),1989,Sega,Puzzle,Sega Arcade Hardware
mt_revsh,The Revenge of Shinobi (Mega-Tech),1989,Sega,Action (Multiplayer),Sega Arcade Hardware
mt_tlbba,Tommy Lasorda Baseball (Mega-Tech),1989,Sega,Sports,Sega Arcade Hardware
toutrunj,"Turbo Out Run (Japan, Out Run upgrade) (FD1094 317-0117)",1989,Sega,Dial/Paddle,Sega Arcade Hardware
toutrunj1,"Turbo Out Run (Japan, cockpit) (FD1094 317-0101)",1989,Sega,Dial/Paddle,Sega Arcade Hardware
toutrun,Turbo Out Run (Out Run upgrade) (FD1094 317-0118),1989,Sega,Dial/Paddle,Sega Arcade Hardware
toutrun2,Turbo Out Run (cockpit) (FD1094 317-0106),1989,Sega,Dial/Paddle,Sega Arcade Hardware
toutrun3,Turbo Out Run (cockpit) (FD1094 317-0107),1989,Sega,Dial/Paddle,Sega Arcade Hardware
toutrun1,Turbo Out Run (deluxe cockpit) (FD1094 317-0109),1989,Sega,Dial/Paddle,Sega Arcade Hardware
mt_wcsoc,World Championship Soccer (Mega-Tech),1989,Sega,Sports,Sega Arcade Hardware
wrestwar1,"Wrestle War (set 1, Japan) (FD1094 317-0090)",1989,Sega,Action (Multiplayer),Sega System 16
wrestwar2,"Wrestle War (set 2, World) (FD1094 317-0102)",1989,Sega,Action (Multiplayer),Sega System 16
wrestwar,"Wrestle War (set 3, World) (8751 317-0103)",1989,Sega,Action (Multiplayer),Sega System 16
bloxeed,Bloxeed (Japan) (FD1094 317-0139),1989,Sega / Elorg,Action (Multiplayer),Sega Arcade Hardware
bloxeedu,"Bloxeed (US, C System, Rev A)",1989,Sega / Elorg,Action (Multiplayer),Sega Arcade Hardware
bloxeedc,"Bloxeed (World, C System)",1989,Sega / Elorg,Action (Multiplayer),Sega Arcade Hardware
tturfu,"Tough Turf (set 1, US) (8751 317-0099)",1989,Sega / Sunsoft,Action (Multiplayer),Sega System 16
tturf,"Tough Turf (set 2, Japan) (8751 317-0104)",1989,Sega / Sunsoft,Action (Multiplayer),Sega System 16
dynduke,"Dynamite Duke (Europe, 03SEP89)",1989,Seibu Kaihatsu,Action (Multiplayer),Arcade Hardware (Unknown)
dyndukea,"Dynamite Duke (Europe, 25JUL89)",1989,Seibu Kaihatsu,Action (Multiplayer),Arcade Hardware (Unknown)
dyndukej,"Dynamite Duke (Japan, 03SEP89)",1989,Seibu Kaihatsu,Action (Multiplayer),Arcade Hardware (Unknown)
dyndukeja,"Dynamite Duke (Japan, 25JUL89)",1989,Seibu Kaihatsu,Action (Multiplayer),Arcade Hardware (Unknown)
metlfrzr,Metal Freezer (Japan),1989,Seibu Kaihatsu,Action (Multiplayer),Arcade Hardware (Unknown)
dbldynj,"The Double Dynamites (Japan, 13NOV89)",1989,Seibu Kaihatsu,Action (Multiplayer),Arcade Hardware (Unknown)
dyndukeu,"Dynamite Duke (US, 25JUL89)",1989,Seibu Kaihatsu (Fabtek license),Action (Multiplayer),Arcade Hardware (Unknown)
dbldynu,"The Double Dynamites (US, 13NOV89)",1989,Seibu Kaihatsu (Fabtek license),Action (Multiplayer),Arcade Hardware (Unknown)
calibr50,Caliber 50 (Ver. 1.01),1989,Seta,Dial/Paddle,Arcade Hardware (Unknown)
downtownj,DownTown / Mokugeki (joystick hack),1989,Seta,Action (Multiplayer),Arcade Hardware (Unknown)
downtownp,DownTown / Mokugeki (prototype),1989,Seta,Action (Multiplayer),Arcade Hardware (Unknown)
downtown,DownTown / Mokugeki (set 1),1989,Seta,Action (Multiplayer),Arcade Hardware (Unknown)
downtown2,DownTown / Mokugeki (set 2),1989,Seta,Action (Multiplayer),Arcade Hardware (Unknown)
usclssic,U.S. Classic,1989,Seta,Trackball,Arcade Hardware (Unknown)
champbwl,Championship Bowling,1989,Seta / Romstar Inc.,Trackball,Arcade Hardware (Unknown)
champbwla,Championship Bowling (location test),1989,Seta / Romstar Inc.,Trackball,Arcade Hardware (Unknown)
cece,China Education Computer E,1989,Shaanxi Province Computer Factory,Keyboard/Typing,Arcade Hardware (Unknown)
cecg,China Education Computer G,1989,Shaanxi Province Computer Factory,Keyboard/Typing,Arcade Hardware (Unknown)
cecm,China Education Computer M,1989,Shaanxi Province Computer Factory,Keyboard/Typing,Arcade Hardware (Unknown)
fctitler,Famicom Titler,1989,Sharp,Action (Multiplayer),Arcade Hardware (Unknown)
feap90,Multitel Fe Ap 90-1.1,1989,Siemens,Arcade,Arcade Hardware (Unknown)
jwildb52a,"Joker's Wild (B52 system, WP02001-054, Ver.031WM)",1989,Sigma,Arcade,Arcade Hardware (Unknown)
s8waysfc,"Super 8 Ways FC (DB98103-011, Fruit combination)",1989,Sigma,Arcade,Arcade Hardware (Unknown)
sintez2,Sintez 2,1989,Signal,Action,Arcade Hardware (Unknown)
pi4d25,Personal IRIS 4D/25,1989,Silicon Graphics,Keyboard/Typing,Arcade Hardware (Unknown)
hbf1xv,"HB-F1XV (MSX2+, Japan)",1989,Sony,Action (Multiplayer),Arcade Hardware (Unknown)
nws3860,NWS-3860,1989,Sony,Keyboard/Typing,Arcade Hardware (Unknown)
future32a,Future 32α,1989,Sord,Keyboard/Typing,Arcade Hardware (Unknown)
fk1,FK-1,1989,Statni statek Klicany,Keyboard/Typing,Arcade Hardware (Unknown)
gtgt10,"Golden Tee Golf (Trackball, v1.0)",1989,Strata / Incredible Technologies,Sports,Arcade Hardware (Unknown)
gtgt20,"Golden Tee Golf (Trackball, v2.0)",1989,Strata / Incredible Technologies,Sports,Arcade Hardware (Unknown)
gtgt21,"Golden Tee Golf (Trackball, v2.1)",1989,Strata / Incredible Technologies,Sports,Arcade Hardware (Unknown)
gtg2t,"Golden Tee Golf II (Trackball, v1.1)",1989,Strata / Incredible Technologies,Sports,Arcade Hardware (Unknown)
sun4_60,SPARCstation 1 (Sun 4/60),1989,Sun Microsystems,Keyboard/Typing,Arcade Hardware (Unknown)
sun3_460,Sun 3/460/470/480,1989,Sun Microsystems,Arcade,Arcade Hardware (Unknown)
sun3_80,Sun 3/80,1989,Sun Microsystems,Keyboard/Typing,Arcade Hardware (Unknown)
sparkman,"Spark Man (v2.0, set 1)",1989,SunA,Action (Multiplayer),Arcade Hardware (Unknown)
sparkmana,"Spark Man (v2.0, set 2)",1989,SunA,Action (Multiplayer),Arcade Hardware (Unknown)
shangha2,"Shanghai II (Japan, set 1)",1989,Sunsoft,Action (Multiplayer),Arcade Hardware (Unknown)
shangha2a,"Shanghai II (Japan, set 2)",1989,Sunsoft,Action (Multiplayer),Arcade Hardware (Unknown)
pc_ftqst,Uncle Fester's Quest: The Addams Family (PlayChoice-10),1989,Sunsoft (Nintendo of America license),Action (Multiplayer),Arcade Hardware (Unknown)
bayroute1,"Bay Route (set 1, US) (unprotected)",1989,Sunsoft / Sega,Action (Multiplayer),Sega System 16
bayroutej,"Bay Route (set 2, Japan) (FD1094 317-0115)",1989,Sunsoft / Sega,Action (Multiplayer),Sega System 16
bayroute,"Bay Route (set 3, World) (FD1094 317-0116)",1989,Sunsoft / Sega,Action (Multiplayer),Sega System 16
anoworld,"Another World (Japan, V1.8)",1989,Sunwise,Action,Arcade Hardware (Unknown)
pairsten,Pairs (System Ten) (Japan 890826),1989,System Ten,Action (Multiplayer),Arcade Hardware (Unknown)
juju,JuJu Densetsu (Japan),1989,TAD Corporation,Action (Multiplayer),Arcade Hardware (Unknown)
toki,"Toki (World, set 1)",1989,TAD Corporation,Action (Multiplayer),Arcade Hardware (Unknown)
tokia,"Toki (World, set 2)",1989,TAD Corporation,Action (Multiplayer),Arcade Hardware (Unknown)
cabala,"Cabal (Korea?, Joystick)",1989,TAD Corporation (Alpha Trading license),Action (Multiplayer),Arcade Hardware (Unknown)
cabalukj,"Cabal (UK, Joystick)",1989,TAD Corporation (Electrocoin license),Action (Multiplayer),Arcade Hardware (Unknown)
cabaluk,"Cabal (UK, Trackball)",1989,TAD Corporation (Electrocoin license),Trackball,Arcade Hardware (Unknown)
tokip,"Toki (US, prototype?)",1989,TAD Corporation (Fabtek license),Action (Multiplayer),Arcade Hardware (Unknown)
tokiu,"Toki (US, set 1)",1989,TAD Corporation (Fabtek license),Action (Multiplayer),Arcade Hardware (Unknown)
tokiua,"Toki (US, set 2)",1989,TAD Corporation (Fabtek license),Action (Multiplayer),Arcade Hardware (Unknown)
parentj,Parent Jack (Japan),1989,Taito,Arcade,Taito Arcade
bsharku,Battle Shark (US),1989,Taito America Corporation,Action,Taito Arcade
bsharkuo,"Battle Shark (US, older)",1989,Taito America Corporation,Action,Taito Arcade
cadashu1,"Cadash (US, rev 1?)",1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
cadashu,"Cadash (US, rev 2)",1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
cameltryau,"Cameltry (US, YM2203 + M6295)",1989,Taito America Corporation,Dial/Paddle,Taito Arcade
cameltryu,"Cameltry (US, YM2610)",1989,Taito America Corporation,Dial/Paddle,Taito Arcade
cameltrya,"Cameltry (World, YM2203 + M6295)",1989,Taito America Corporation,Dial/Paddle,Taito Arcade
cameltry,"Cameltry (World, YM2610)",1989,Taito America Corporation,Dial/Paddle,Taito Arcade
champwru,Champion Wrestler (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
crimecu,Crime City (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
dondokodu,"Don Doko Don (US, rev 1)",1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
masterwu,Master of Weapon (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
megablstu,Mega Blast (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
nightstru,Night Striker (US),1989,Taito America Corporation,Action,Taito Arcade
plottingu,Plotting (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
puzznicu,Puzznic (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
rambo3u,Rambo III (US),1989,Taito America Corporation,Trackball,Taito Arcade
sciu,Special Criminal Investigation (US),1989,Taito America Corporation,Dial/Paddle,Taito Arcade
twinhawku,Twin Hawk (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
viofightu,Violence Fight (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
volfieduo,Volfied (US),1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
volfiedu,"Volfied (US, rev 1)",1989,Taito America Corporation,Action (Multiplayer),Taito Arcade
wgpu,WGP: Real Race Feeling (US),1989,Taito America Corporation,Racing,Taito Arcade
bsharkj,Battle Shark (Japan),1989,Taito Corporation,Action,Taito Arcade
bsharkjjs,"Battle Shark (Japan, Joystick)",1989,Taito Corporation,Action,Taito Arcade
cadashjo,Cadash (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
cadashj1,"Cadash (Japan, rev 1)",1989,Taito Corporation,Action (Multiplayer),Taito Arcade
cadashj,"Cadash (Japan, rev 2)",1989,Taito Corporation,Action (Multiplayer),Taito Arcade
cameltryj,"Cameltry (Japan, YM2610)",1989,Taito Corporation,Dial/Paddle,Taito Arcade
champwrj,Champion Wrestler (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
crimecj,Crime City (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
daisenpu,Daisenpu (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
darius2do,"Darius II (dual screen) (Japan, Rev 1)",1989,Taito Corporation,Action (Multiplayer),Taito Arcade
darius2d,"Darius II (dual screen) (Japan, Rev 2)",1989,Taito Corporation,Action (Multiplayer),Taito Arcade
darius2,"Darius II (triple screen) (Japan, rev 1)",1989,Taito Corporation,Action (Multiplayer),Taito Arcade
dondokodj,"Don Doko Don (Japan, rev 1)",1989,Taito Corporation,Action (Multiplayer),Taito Arcade
flipull,Flipull (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
insectxj,Insector X (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
masterwj,Master of Weapon (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
mofflott,Maze of Flott (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
megablstj,Mega Blast (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
nightstrj,Night Striker (Japan),1989,Taito Corporation,Action,Taito Arcade
puzznicj,Puzznic (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
scij,Special Criminal Investigation (Japan),1989,Taito Corporation,Dial/Paddle,Taito Arcade
viofightj,Violence Fight (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
volfiedjo,Volfied (Japan),1989,Taito Corporation,Action (Multiplayer),Taito Arcade
volfiedj,"Volfied (Japan, rev 1)",1989,Taito Corporation,Action (Multiplayer),Taito Arcade
wgpj,WGP: Real Race Feeling (Japan),1989,Taito Corporation,Racing,Taito Arcade
wgpjoy,"WGP: Real Race Feeling (joystick version) (Japan, set 1)",1989,Taito Corporation,Racing,Taito Arcade
wgpjoya,"WGP: Real Race Feeling (joystick version) (Japan, set 2)",1989,Taito Corporation,Racing,Taito Arcade
bshark,Battle Shark (World),1989,Taito Corporation Japan,Action,Taito Arcade
cadashf,Cadash (France),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
cadashgo,Cadash (Germany),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
cadashg,"Cadash (Germany, rev 1)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
cadashi,Cadash (Italy),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
cadashso,Cadash (Spain),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
cadashs,"Cadash (Spain, rev 1)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
cadash,Cadash (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
cadashp,"Cadash (World, prototype)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
champwr,Champion Wrestler (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
crimec,Crime City (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
dondokod,"Don Doko Don (World, rev 1)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
insectx,Insector X (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
masterw,Master of Weapon (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
megablst,Mega Blast (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
nightstr,Night Striker (World),1989,Taito Corporation Japan,Action,Taito Arcade
plotting,Plotting (World set 1),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
plottinga,"Plotting (World set 2, protected)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
plottingb,"Plotting (World set 3, earliest version)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
puzznic,Puzznic (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
sagaia,Sagaia (dual screen) (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
sci,Special Criminal Investigation (World set 1),1989,Taito Corporation Japan,Dial/Paddle,Taito Arcade
scia,Special Criminal Investigation (World set 2),1989,Taito Corporation Japan,Dial/Paddle,Taito Arcade
twinhawk,Twin Hawk (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
viofight,Violence Fight (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
volfiedo,Volfied (World),1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
volfied,"Volfied (World, rev 1)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
wgp,WGP: Real Race Feeling (World),1989,Taito Corporation Japan,Racing,Taito Arcade
yukiwo,"Yukiwo (World, prototype)",1989,Taito Corporation Japan,Action (Multiplayer),Taito Arcade
rambo3,Rambo III (Europe),1989,Taito Europe Corporation,Trackball,Taito Arcade
rambo3p,"Rambo III (Europe, Proto?)",1989,Taito Europe Corporation,Action (Multiplayer),Taito Arcade
matchit,Match It,1989,Tamtex,Action (Multiplayer),Irem Arcade
shisen,"Shisensho - Joshiryo-Hen (Japan, set 1)",1989,Tamtex,Action (Multiplayer),Irem Arcade
shisena,"Shisensho - Joshiryo-Hen (Japan, set 2)",1989,Tamtex,Action (Multiplayer),Irem Arcade
t1000rl,Tandy 1000 RL,1989,Tandy Radio Shack,Action (Multiplayer),Arcade Hardware (Unknown)
t1000tl2,Tandy 1000 TL/2,1989,Tandy Radio Shack,Action (Multiplayer),Arcade Hardware (Unknown)
roundup5,Round Up 5 - Super Delta Force,1989,Tatsumi,Action,Arcade Hardware (Unknown)
sms1br,Master System (Brazil),1989,Tec Toy,Action (Multiplayer),Sega Arcade Hardware
mt_tfor2,Thunder Force II MD (Mega-Tech),1989,Techno Soft / Sega,Action (Multiplayer),Sega Arcade Hardware
wwfsstarc,WWF Superstars (Canada),1989,Technos Japan,Action (Multiplayer),Arcade Hardware (Unknown)
wwfsstar,WWF Superstars (Europe),1989,Technos Japan,Action (Multiplayer),Arcade Hardware (Unknown)
wwfsstarj,WWF Superstars (Japan),1989,Technos Japan,Action (Multiplayer),Arcade Hardware (Unknown)
wwfsstaru4,WWF Superstars (US revision 4),1989,Technos Japan,Action (Multiplayer),Arcade Hardware (Unknown)
wwfsstaru6,WWF Superstars (US revision 6),1989,Technos Japan,Action (Multiplayer),Arcade Hardware (Unknown)
wwfsstaru7,WWF Superstars (US revision 7),1989,Technos Japan,Action (Multiplayer),Arcade Hardware (Unknown)
blockout3,Block Out (Europe and Oceania),1989,Technos Japan / California Dreams,Puzzle,Arcade Hardware (Unknown)
blockoutj,Block Out (Japan),1989,Technos Japan / California Dreams,Puzzle,Arcade Hardware (Unknown)
blockout,Block Out (set 1),1989,Technos Japan / California Dreams,Puzzle,Arcade Hardware (Unknown)
blockout2,Block Out (set 2),1989,Technos Japan / California Dreams,Puzzle,Arcade Hardware (Unknown)
ryukendn,"Ninja Ryukenden (Japan, set 1)",1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
ryukendna,"Ninja Ryukenden (Japan, set 2)",1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
tknight,Tecmo Knight (US),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
twcup90a,Tecmo World Cup '90 (Europe set 1),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
twcup90b,Tecmo World Cup '90 (Europe set 2),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
twcup90c,Tecmo World Cup '90 (Europe set 3),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
twcup90,Tecmo World Cup '90 (World set 1),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
twcup90t,Tecmo World Cup '90 (trackball set 1),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
wildfangs,Wild Fang (Japan),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
wildfang,Wild Fang / Tecmo Knight (World?),1989,Tecmo,Action (Multiplayer),Arcade Hardware (Unknown)
pc_ngaid,Ninja Gaiden (PlayChoice-10),1989,Tecmo (Nintendo of America license),Action (Multiplayer),Arcade Hardware (Unknown)
pc_tbowl,Tecmo Bowl (PlayChoice-10),1989,Tecmo (Nintendo of America license),Action (Multiplayer),Arcade Hardware (Unknown)
tv965,TeleVideo 965,1989,TeleVideo Systems,Arcade,Arcade Hardware (Unknown)
ondrat,Ondra,1989,Tesla,Action,Arcade Hardware (Unknown)
lilcomp,My Little Computer,1989,Texas Instruments,Keyboard/Typing,Arcade Hardware (Unknown)
tbatman,Batman (Tiger),1989,Tiger Electronics,Action,Arcade Hardware (Unknown)
copycata,Copy Cat (model 7-522),1989,Tiger Electronics,Arcade,Arcade Hardware (Unknown)
tgaiden,Ninja Gaiden (Tiger),1989,Tiger Electronics,Action,Arcade Hardware (Unknown)
tvindictr,Vindicators (Tiger),1989,Tiger Electronics,Action,Arcade Hardware (Unknown)
cfa3000,Henson CFA 3000 (Master),1989,Tinsley Medical Instruments,Dial/Paddle,Arcade Hardware (Unknown)
demonwld1,Demon's World (World) / Horror Story (Japan) (set 2),1989,Toaplan,Action (Multiplayer),Toaplan
demonwld2,Demon's World (World) / Horror Story (Japan) (set 3),1989,Toaplan,Action (Multiplayer),Toaplan
demonwld3,Demon's World (World) / Horror Story (Japan) (set 4),1989,Toaplan,Action (Multiplayer),Toaplan
demonwld4,Demon's World (World) / Horror Story (Japan) (set 5),1989,Toaplan,Action (Multiplayer),Toaplan
fireshrka,Fire Shark (earlier),1989,Toaplan,Action (Multiplayer),Toaplan
samesame,"Same! Same! Same! (Japan, 1P set)",1989,Toaplan,Action (Multiplayer),Toaplan
samesame2,"Same! Same! Same! (Japan, 2P set)",1989,Toaplan,Action (Multiplayer),Toaplan
zerowing1,Zero Wing (1P set),1989,Toaplan,Action (Multiplayer),Toaplan
zerowing,Zero Wing (2P set),1989,Toaplan,Action (Multiplayer),Toaplan
demonwld5,Demon's World (World) / Horror Story (Japan) (set 6),1989,Toaplan (APM Electronics license),Action (Multiplayer),Toaplan
hellfire1,Hellfire (1P set),1989,Toaplan (Taito license),Action (Multiplayer),Toaplan
hellfire1a,"Hellfire (1P set, older)",1989,Toaplan (Taito license),Action (Multiplayer),Toaplan
hellfire,Hellfire (2P set),1989,Toaplan (Taito license),Action (Multiplayer),Toaplan
hellfire2a,"Hellfire (2P set, older)",1989,Toaplan (Taito license),Action (Multiplayer),Toaplan
zerowingw,"Zero Wing (2P set, Williams license)",1989,Toaplan (Williams license),Action (Multiplayer),Toaplan
ktiger,"Kyukyoku Tiger (Japan, 2 player cooperative)",1989,Toaplan / Taito Corporation,Action (Multiplayer),Toaplan
usg182,Games V18.2,1989,"U.S. Games, Inc.",Arcade,Arcade Hardware (Unknown)
omegaf,Omega Fighter (set 1),1989,UPL,Fighting,Arcade Hardware (Unknown)
omegafa,Omega Fighter (set 2),1989,UPL,Fighting,Arcade Hardware (Unknown)
omegafs,Omega Fighter Special,1989,UPL,Fighting,Arcade Hardware (Unknown)
tharrier,Task Force Harrier,1989,UPL,Action (Multiplayer),Arcade Hardware (Unknown)
tharrieru,Task Force Harrier (US),1989,UPL (American Sammy license),Action (Multiplayer),Arcade Hardware (Unknown)
sm7238,SM 7238,1989,USSR,Keyboard/Typing,Arcade Hardware (Unknown)
sformula,"Super Formula (Japan, set 1)",1989,V-System Co.,Action,Arcade Hardware (Unknown)
sformulaa,"Super Formula (Japan, set 2)",1989,V-System Co.,Action,Arcade Hardware (Unknown)
svolley,Super Volleyball (Japan),1989,V-System Co.,Action (Multiplayer),Arcade Hardware (Unknown)
svolleyk,Super Volleyball (Korea),1989,V-System Co.,Action (Multiplayer),Arcade Hardware (Unknown)
svolleyua,Super Volleyball (US),1989,V-System Co.,Action (Multiplayer),Arcade Hardware (Unknown)
tail2nosa,Tail to Nose - Great Championship,1989,V-System Co.,Action,Arcade Hardware (Unknown)
tail2nos,Tail to Nose - Great Championship / Super Formula,1989,V-System Co.,Action,Arcade Hardware (Unknown)
svolleyu,"Super Volleyball (US, Data East license)",1989,V-System Co. (Data East license),Action (Multiplayer),Arcade Hardware (Unknown)
kc85_4,KC 85/4,1989,"VEB Mikroelektronik ""Wilhelm Pieck"" Mühlhausen",Keyboard/Typing,Arcade Hardware (Unknown)
kc85_5,KC 85/5,1989,"VEB Mikroelektronik ""Wilhelm Pieck"" Mühlhausen",Keyboard/Typing,Arcade Hardware (Unknown)
kccomp,KC Compact,1989,"VEB Mikroelektronik ""Wilhelm Pieck"" Mühlhausen",Action,Arcade Hardware (Unknown)
polyplay2c,Poly-Play (ZRE-PP - Czech),1989,VEB Polytechnik Karl-Marx-Stadt,Action,Arcade Hardware (Unknown)
polyplay2,Poly-Play (ZRE-PP),1989,VEB Polytechnik Karl-Marx-Stadt,Action,Arcade Hardware (Unknown)
a5105,BIC A5105,1989,VEB Robotron,Keyboard/Typing,Arcade Hardware (Unknown)
nummunch,Electronic Number Muncher,1989,VTech,Keyboard/Typing,Arcade Hardware (Unknown)
laser_xt3,Laser XT/3,1989,VTech,Shooter,Arcade Hardware (Unknown)
ondrav,Ondra ViLi,1989,ViLi,Action,Arcade Hardware (Unknown)
lucky8,"New Lucky 8 Lines (set 1, W-4)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8k,"New Lucky 8 Lines (set 10, W-4, encrypted NEC D315-5136)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8l,"New Lucky 8 Lines (set 11, W-4)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8m,"New Lucky 8 Lines (set 12, W-4, encrypted)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8n,New Lucky 8 Lines (set 13),1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8u,"New Lucky 8 Lines (set 19, W-4)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8a,"New Lucky 8 Lines (set 2, W-4)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8b,"New Lucky 8 Lines (set 3, W-4, extended gfx)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8c,"New Lucky 8 Lines (set 4, W-4)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8d,"New Lucky 8 Lines (set 5, W-4, main 40%, d-up 60%)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8e,"New Lucky 8 Lines (set 6, W-4, main 40%, d-up 60%)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8f,"New Lucky 8 Lines (set 7, W-4, encrypted)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
lucky8g,"New Lucky 8 Lines (set 8, W-4)",1989,"Wing Co., Ltd.",Arcade,Arcade Hardware (Unknown)
pss780,PSS-780,1989,Yamaha,Arcade,Arcade Hardware (Unknown)
grmatch,Grudge Match (Yankee Game Technology),1989,Yankee Game Technology,Action (Multiplayer),Arcade Hardware (Unknown)
y416xl,416 XL (Yeno),1989,Yeno,Keyboard/Typing,Arcade Hardware (Unknown)
y532xl,532 XL (Yeno),1989,Yeno,Keyboard/Typing,Arcade Hardware (Unknown)
apogee,Apogee BK-01,1989,Zavod BRA,Keyboard/Typing,Arcade Hardware (Unknown)
c2717,Consul 2717,1989,Zbrojovka Brno,Keyboard/Typing,Arcade Hardware (Unknown)
c2717pmd,Consul 2717 (with PMD-32),1989,Zbrojovka Brno,Keyboard/Typing,Arcade Hardware (Unknown)
archrivlb,"Arch Rivals (rev 2.0 5/03/89, 8-way joystick bootleg)",1989,bootleg,Action (Multiplayer),Midway/Williams
basketbal,Basket Ball (8-way joystick bootleg of Arch Rivals),1989,bootleg,Action (Multiplayer),Midway/Williams
bayroutejd,"Bay Route (set 2, Japan) (bootleg of FD1094 317-0115 set)",1989,bootleg,Action (Multiplayer),Sega System 16
